;Symbol;GSM26878.CEL;GSM26883.CEL;GSM26887.CEL;GSM26903.CEL;GSM26910.CEL;GSM26888.CEL;GSM26889.CEL;GSM26892.CEL;GSM26898.CEL;GSM26906.CEL;GSM26879.CEL;GSM26896.CEL;GSM26897.CEL;GSM26907.CEL;GSM26911.CEL
214703_s_at;MAN2B2;7,80895001539186;7,19711946220357;6,70248038471106;8,13629869179606;8,94162101954984;7,07891777173607;7,22298673963739;6,93672193255012;6,11015402242461;7,15125722744525;7,67440405241861;6,98748541809929;8,87799176335079;7,34720520235793;6,98662192980443
214709_s_at;KTN1;10,9805563493088;9,58661403473846;10,9993298419782;10,5133793398747;9,51257152137776;9,47190692835629;9,93611881121445;10,0408619352951;9,81069190921606;10,1242767885485;10,5141131907744;10,2406888734797;10,6932540307872;10,613511916454;9,80761946106707
214710_s_at;CCNB1;9,46168546552564;8,72015556069812;9,67949517135324;8,70504532293903;8,09127579621925;9,07371504256446;9,42203274380028;9,88691118099048;9,42516901775808;10,1912713279807;9,33293672679025;8,45524508057327;8,91187798139147;9,89083755593748;9,30680478326408
214715_x_at;ZNF160;8,65530521936838;8,87731257905054;8,07960740870678;8,50486941312675;8,28157646762908;8,77008254756437;8,85165883030767;8,46141418835338;8,12912014178499;8,91316616921417;8,75419953194216;9,05918037768663;9,15771632644121;8,71869379288982;8,45197496040556
214719_at;SLC46A3;8,48519032915191;8,0946835279266;9,73409740409781;8,64238179649586;9,36263216439093;9,43335993181099;8,77783208578612;8,29211333011871;7,77236955744692;8,89637456673384;8,65456697183683;9,09069613159537;9,43317383240462;7,89494631805218;8,06130201445959
214720_x_at;SEPTIN10;5,93964611413286;5,99809945595414;7,01715427000361;6,56613920619554;5,96812366241502;6,34070431046665;7,29714214853215;5,84952283942427;6,22098285794666;6,59705019875785;6,11217866461256;6,0775727485151;5,92194088217847;6,4871356170792;6,136220010051
214721_x_at;CDC42EP4;8,49918434539602;8,17316443968388;8,67694527609683;8,93073388585569;8,60091908054874;7,96583691993083;8,22691700604995;9,16674132769556;8,80902205184838;8,53625905118648;8,48940645394053;8,53625905118648;8,33192043203979;8,41189895018912;8,53625905118648
214722_at;NOTCH2NLA;9,56834573920331;9,77731128507344;9,15144123251109;9,14020824732971;8,99812768910836;9,8926174905745;10,5873838244869;10,3137318072636;9,07157242395456;9,83401674229555;9,65527390531111;9,85762617908173;10,9984231207662;9,60491597681958;9,20786205578228
214723_x_at;ANKRD36;4,57801417530899;4,93550910815748;4,80247031851779;4,84554209598314;4,57247845218433;5,61012100955072;6,44845951719532;6,5927829340683;5,6349176817238;5,76457292080919;5,37016330233069;5,37016330233069;5,51221796628018;5,3543821809579;4,54171047226834
214724_at;DIXDC1;6,57686692569945;6,68596214049172;6,65927292438195;7,55226353335722;6,56805223220559;6,4531180246906;6,38994768805997;6,27962673693078;6,08548771144397;6,59440347622145;6,19679767374718;6,38701173563737;6,63816304138754;6,16228828738888;6,47350603475061
214728_x_at;SMARCA4;10,7601678266091;10,8558636815153;10,7347877903855;10,3147051079348;10,1771776116391;10,0582556477069;10,3404662297037;12,9685085326505;10,2599067430879;11,266393787833;10,5344172533817;10,319093320377;10,3852680932781;9,50886946051294;10,4559190659307
214730_s_at;GLG1;10,3416451038593;10,5480869507983;10,807470015215;11,0707296849576;11,7336879880462;10,5425972852604;10,2826757721783;10,5712217410852;10,457324920906;10,1420250448211;10,5984688455466;10,4124766248584;10,6248387423911;9,95683308928519;10,8957518107885
214733_s_at;YIPF1;9,64569237349719;10,1714362553813;10,8255779588273;9,97506095537496;9,88891418582786;8,80110903457859;9,38898637161112;9,22585620067879;8,80665135496382;9,06250981988979;9,00667403282252;9,05133777674085;9,16726791127893;9,56580351443002;9,90170502309334
214734_at;EXPH5;8,93349605086597;8,70712183597956;9,07389366427501;8,29371473745207;8,39844943791918;7,6542938225017;8,57553141270951;8,81312367799381;8,46479613632773;8,45695855549339;7,5048257559109;8,08812894017527;8,27992453456455;8,45803246796757;9,12553750881484
