,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,L,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26879.CEL,GSM26896.CEL,GSM26897.CEL,GSM26907.CEL,GSM26911.CEL
205009_at,NA,NA,-4.7350496224473,8.69247769304976,-10.6834348885533,4.66247945824316e-09,4.37215071918717e-05,10.3794749019644,-4.7350496224473,7.44555193846541,12.1806015609127,7.63461131316646,9.43842980477797,6.45795433078023,6.57557995633662,7.12118428726578,12.7914635360055,11.6952399941614,12.899621178234,11.9823957634268,11.5342873327358
205862_at,NA,NA,-3.95856267274602,6.0828354590275,-10.1044258718907,1.0804140557121e-08,4.37215071918717e-05,9.68568065725129,-3.95856267274603,4.7018947412927,8.66045741403872,4.54840998549348,4.60998824535586,4.9191634696115,4.6870351762655,4.74487682973715,9.78604269081059,9.70479658123866,7.82067469094609,7.22165771842323,8.76911538877503
205225_at,NA,NA,-3.96493867506738,9.30054557434598,-9.9674906271962,1.32476034315337e-08,4.37215071918717e-05,9.51534654307816,-3.96493867506738,7.97034505972192,11.9352837347893,8.04917025724954,7.08073337172239,8.80570750742876,7.37062445924816,8.54548970296075,11.7011383923621,12.25660693461,12.0805462826092,11.3397381010087,12.2983889633565
209443_at,NA,NA,-2.19839158119141,7.58622560370509,-8.67924437531577,1.00002033996451e-07,0.000247530034649716,7.78764421087372,-2.19839158119141,6.8751500269679,9.0735416081593,7.04082918051455,6.9630016310826,6.45795433078023,6.65303769867886,7.26092729378322,9.19574757021337,9.17329788649405,9.29090566906781,8.08403946997677,9.62371744504452
205696_s_at,NA,NA,-2.33378493684471,6.23987560333499,-7.71141762357575,5.21349458106986e-07,0.000757208521760075,6.32979723857824,-2.33378493684471,5.47662662119552,7.81041155804023,5.61686354007184,5.53337384505793,5.49908762126823,5.1399422408402,5.59386585873941,8.84958303662942,8.56061229420627,7.48472157726388,7.09750521722797,7.0596356648736
217528_at,NA,NA,4.42925390319951,6.76310069182024,7.69177146401843,5.39797545850421e-07,0.000757208521760075,6.29870271644892,4.42925390319951,10.1135474223939,5.68429351919437,10.5339461053776,10.0360217827228,11.3255778529753,8.05348155382427,10.6187098170695,4.94593904831678,7.84772272830108,6.14816323744438,4.52136200999901,4.95828057191063
203060_s_at,NA,NA,2.98973499942438,9.58752407585848,7.52309679111167,7.2913199321367e-07,0.000757208521760075,6.02922772769641,2.98973499942438,11.4349208747132,8.44518587528885,11.9007124334493,11.1238201007294,10.8618520121479,11.2794780460378,12.0087417812018,7.80699534756015,8.45633064713862,8.2963152357006,8.21562021925563,9.45066792678923
217276_x_at,NA,NA,3.3258544384889,8.85410249573978,7.49328238350027,7.69232112489504e-07,0.000757208521760075,5.98112741976545,3.32585443848891,11.3312761394227,8.00542170093383,11.3022782520634,9.4673703451922,11.0152445733994,12.5666080402946,12.304879486164,7.86946890128746,8.11123552629395,7.63497723012713,8.99368706247787,7.41773978448274
209787_s_at,NA,NA,-1.52830594882846,9.87129818602029,-7.4841245558237,7.82005211646136e-07,0.000757208521760075,5.96632453273859,-1.52830594882847,8.68749174672697,10.2157976955554,8.66318108145193,8.52921536033064,8.85169918733074,8.81036065170359,8.58300245281795,9.54198711656188,10.3969094549004,10.4032897851652,10.3938525684119,10.3429495527377
203058_s_at,NA,NA,2.93189743815442,8.99179642765637,7.47088102703709,8.00868902937991e-07,0.000757208521760075,5.94489386849035,2.93189743815442,10.9306932820979,7.9987958439435,11.2053436617152,10.7398238295711,10.1674548103601,10.5055555304091,12.0352885784341,7.56157908718358,7.86497639137414,7.58187391884989,7.73928257606174,9.24626724624814
