,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,B,L,GSM26888.CEL,GSM26889.CEL,GSM26892.CEL,GSM26898.CEL,GSM26906.CEL,GSM26879.CEL,GSM26896.CEL,GSM26897.CEL,GSM26907.CEL,GSM26911.CEL
204667_at,NA,NA,-2.9610419446725,8.65115658718476,-14.3004405953611,4.83572938750353e-11,2.90496348543138e-07,14.2669752093211,-2.9610419446725,6.65136135400296,9.61240329867546,6.48379228710839,6.55134491121946,7.00116149483404,6.68506224051801,6.53544583633489,9.41169316218646,9.11972213722359,10.1964718583651,9.52264830676415,9.81148102883797
215729_s_at,NA,NA,3.744599288766,6.13759460387285,14.1292172861144,5.86802037255101e-11,2.90496348543138e-07,14.1205228516575,3.744599288766,8.53655768839279,4.79195839962679,8.26586963394537,8.96267919728921,8.3042470730772,8.76866776720214,8.38132477045005,4.8509023875565,4.93163229768219,4.65929470784214,4.72155732738698,4.79640527766614
205009_at,NA,NA,-5.72932198114157,8.69247769304976,-12.9267575256049,2.42119060114873e-10,7.99073604732452e-07,13.0211154566319,-5.72932198114157,6.45127957977115,12.1806015609127,6.5187988127161,6.70107643535141,6.59164516147643,6.30535079121195,6.13952669809984,12.7914635360055,11.6952399941614,12.899621178234,11.9823957634268,11.5342873327358
209604_s_at,NA,NA,-3.67759626862109,10.7464043783828,-10.6220422424959,5.08872591715635e-09,1.25958688264413e-05,10.5153122214771,-3.67759626862109,8.93730220541664,12.6148984740377,8.29969559012577,9.40271516494564,9.73240659786182,7.7036603393494,9.54803333480057,12.952051975673,12.4832215883437,12.4589644399001,12.6194588141729,12.560795552099
209603_at,NA,NA,-3.73479311991305,8.58425415384381,-10.1612102368833,9.93405484595997e-09,1.96714154059699e-05,9.94173524990237,-3.73479311991304,6.91152934447211,10.6463224643852,6.15393356028213,7.71707687071136,7.47391512431327,5.82417532878808,7.38854583826573,11.1558382658202,10.4459643617859,10.6401327254355,10.5004108536059,10.4892661152783
205225_at,NA,NA,-3.93927580626259,9.30054557434598,-9.90297653877228,1.45934684063302e-08,2.40816551151792e-05,9.60859308759558,-3.93927580626259,7.99600792852671,11.9352837347893,7.59515338894359,7.57112667800556,9.16367588772874,7.00068123509643,8.64940245285925,11.7011383923621,12.25660693461,12.0805462826092,11.3397381010087,12.2983889633565
205862_at,NA,NA,-3.77430319228764,6.0828354590275,-9.63409448764782,2.19496590174104e-08,3.10462248473401e-05,9.25246161513586,-3.77430319228764,4.88615422175108,8.66045741403872,4.7983522083187,5.41037771413619,4.81442944963815,4.39785451740536,5.00975721925702,9.78604269081059,9.70479658123866,7.82067469094609,7.22165771842323,8.76911538877503
218211_s_at,NA,NA,-2.8084080639582,10.9327692345868,-8.93861568680954,6.55364380778077e-08,7.23421767162064e-05,8.28579314711836,-2.8084080639582,9.10253871005986,11.9109467740181,8.91010725246772,9.45502318586998,8.9679173393438,9.31586186109718,8.86378391152061,12.1059809550751,11.1635785598326,12.92468235391,12.3119024241856,11.0485895770869
209443_at,NA,NA,-2.26355643217122,7.58622560370509,-8.93651504136713,6.57589728760588e-08,7.23421767162064e-05,8.28277101712329,-2.26355643217122,6.80998517598808,9.0735416081593,6.9008053616535,6.66771962552748,6.61980653365488,7.06137844902787,6.80021591007668,9.19574757021337,9.17329788649405,9.29090566906781,8.08403946997677,9.62371744504452
220192_x_at,NA,NA,-2.38721457266744,9.5218828479889,-8.7319116508499,9.17180719129046e-08,9.08100630009669e-05,7.98538365254199,-2.38721457266744,7.72070636093768,10.1079209336051,7.82396082534421,7.80975247415513,7.52220272851932,8.42722116318851,7.02039461348126,10.3433408879479,9.60597461072177,10.238040257367,10.1973750658783,10.1548738461106
205696_s_at,NA,NA,-2.37782292727101,6.23987560333499,-7.85693031847701,4.03609583902216e-07,0.000324708456187601,6.64405025783943,-2.37782292727101,5.43258863076922,7.81041155804023,5.47991699724341,5.38614494798705,5.2892833489559,5.69634961000079,5.31124824965892,8.84958303662942,8.56061229420627,7.48472157726388,7.09750521722797,7.0596356648736
205044_at,NA,NA,4.7467587331201,8.42325372276683,7.85156726033927,4.07415215387099e-07,0.000324708456187601,6.63547260143836,4.7467587331201,11.8809087530141,7.13415001989398,10.1377421874583,12.7800979871862,12.3469681158715,12.1559089965282,11.9838264780262,6.08869963771541,9.77059752705206,6.16935848179259,7.545203173752,6.09689127915782
200670_at,NA,NA,-2.27392213449323,10.8853569818718,-7.82564845248744,4.26341776632543e-07,0.000324708456187601,6.5939559284349,-2.27392213449322,9.51547477036145,11.7893969048547,9.42507842276157,9.18312431540641,9.54788041556423,9.36273036366413,10.0585603344109,11.5172831865245,11.4722219295148,12.0191301586258,11.3045228548427,12.6338263947654
218963_s_at,NA,NA,3.24291960820412,7.56668831286299,7.40648620305523,8.99582484342847e-07,0.000603953098297275,5.90813354519177,3.24291960820412,9.51139921031923,6.26847960211512,10.6426683365873,10.1752160648299,8.72097375155576,9.96905559404762,8.04908230457557,6.16981202820053,6.32986166771838,6.47338326925887,6.04398481939333,6.32535622600447
