;symbol;ID;GrupID;PF14;PF19;PF23;PF39;PF46;PF24;PF25;PF28;PF34;PF42;PF15;PF32;PF33;PF43;PF47
201236_s_at;BTG2;201236_s_at;1;9,67430026405557;10,0261410125017;9,48722513707842;9,23903378600249;9,42318995260896;9,89625417788469;9,67259907412897;9,60446188378139;9,38103323028325;10,3570187669752;10,8858035651409;10,9046046202903;11,3014769656249;10,8388677377278;10,6069241585463
35147_at;MCF2L;35147_at;1;8,82090106831312;9,67383853176703;8,25645890768907;8,18371308187162;8,75289381095842;8,91343753190239;8,59896279279392;9,25694085099017;8,85322678569301;8,90510151754644;10,3655505477707;9,89874309657859;9,75903129858137;10,3495797500496;9,23805017151633
212935_at;MCF2L;212935_at;1;8,99436923314343;9,6547236366664;8,5085675573058;8,45614948274223;9,18167541371701;9,17655114572123;8,81139838314589;9,22207836522226;9,015600102288;8,96681176859262;10,6166546526537;10,085441806327;9,88227730160499;10,57440583532;9,3887641763588
214858_at;LOC100130449;214858_at;1;5,59171503703925;6,06338862824872;6,02657435793261;5,3453050936619;5,21500594329149;5,19502017663287;5,16922776173784;5,14152723091195;5,20569757282941;5,03455876570234;7,23734911718276;6,17282387295359;6,18266654788297;7,36272423167609;6,09845351615253
214440_at;NAT1;214440_at;1;9,85700113405113;9,8300691943625;8,65332747736233;7,02084763990931;7,48895462756346;8,44939392716494;8,05889271647549;8,1931069287773;7,32993531142832;8,72864857182145;11,3245218174627;9,57076703070068;11,2200840553166;12,0411484247371;9,03137663488884
41660_at;CELSR1;41660_at;1;6,65452272465057;6,50320559131475;7,19051292395159;6,27950054874823;6,39803148116154;6,35154917265826;6,71604960074196;6,6637174659621;6,25781215800255;6,04329238740477;8,42272946567175;7,7219908133151;7,78440558358561;7,40465229388652;6,70497268872727
218309_at;CAMK2N1;218309_at;1;10,7497482770058;11,1204676493371;10,6258979030262;9,44661124772698;8,91301861532584;9,35002638675519;9,71377148629884;9,50329974972253;8,7285017822988;8,50147323912479;11,5013702685734;11,5854378449929;10,8990826403886;10,8047919242383;9,60019307906324
213419_at;APBB2;213419_at;1;7,37765641749182;7,6435853029053;6,91124773323864;7,29265762773184;8,25745437514935;7,24107018326934;6,77213192121377;6,52255809801227;6,62750430684443;6,62205792744085;8,15764677552278;6,99617221221345;8,63802592114506;7,71069054463474;7,39335711062133
202908_at;WFS1;202908_at;1;8,66873273764042;8,53180481696245;8,08736363476473;7,92073254129022;9,47036376407201;7,87333928047251;7,47025144226708;7,81921258728062;7,64543348349981;7,78185961638595;9,15266092708379;8,46114730417997;8,96711485110703;9,2205766224712;8,83069014742754
218976_at;DNAJC12;218976_at;1;8,93698592928456;8,408707716904;8,17822126933435;7,57516437527777;9,20657297731127;7,92151084472986;7,43166141126299;7,07059081573473;7,56544578741087;6,99515651041312;9,764668805051;8,92473544974006;11,5103022642217;11,0181527613461;7,53380700102345
212956_at;TBC1D9;212956_at;1;10,7600516886537;10,3513542084379;10,0349178352455;8,99220394707956;11,0222064558545;9,8409876291134;9,31962212703324;9,17131870680584;8,34246316164031;9,56760832006055;11,5190635300133;11,0430448777214;12,154573527739;11,6327693855933;10,1479260250761
204540_at;EEF1A2;204540_at;1;6,06934329737874;6,07285543834095;5,92661289613337;5,81809291516787;8,18735696724688;5,54930586413185;5,43681129275544;5,58751251977392;5,77780141440706;5,76074661931034;8,53544037529788;6,45260300647883;6,4547591754368;8,48178515843175;6,06934329737874
218195_at;ARMT1;218195_at;1;9,29295205538291;6,52575696431944;10,1072181625984;8,33735755122409;9,3941891133504;8,68364386244763;9,49791862019375;9,05873535249171;8,05506797554424;9,08478984710585;9,86152682379607;10,4605836550181;11,3842722728244;9,57439386103026;10,8670619090519
203476_at;TPBG;203476_at;1;10,6485843714892;9,93328611899892;11,3260028462529;9,59978535876787;10,0345617666467;10,5563596772079;11,0229508146978;10,025358200747;9,70122783513743;10,2838914493496;11,0154359288193;10,9848722573791;11,6921239911156;11,0939659551479;11,9098981880104
208935_s_at;LGALS8;208935_s_at;1;6,99619198394813;5,6444889906963;6,42863750134669;6,14732108169082;6,1569834670844;6,52672835803421;7,11805818683015;5,93152529892535;5,94013741086757;6,48644556193046;7,47072199739922;6,92635625747714;8,28660744594883;6,82886707540763;6,98723902863626
208933_s_at;LGALS8;208933_s_at;1;8,99939288719999;7,32393639523208;7,83367425030635;7,7117195648362;7,99978990531843;8,25928338308443;8,57183130687347;7,12413369070471;6,90595895358788;8,06336756528837;9,15088312407249;8,67230700918942;9,52396117559398;8,47121208306808;8,79781511421319
208712_at;CCND1;208712_at;1;9,19663664686559;8,87319720889225;10,2184868475099;9,32952172821789;9,79644778725247;8,56024111576821;9,7689151930755;6,75176737744667;9,45373165389647;9,40884386277069;10,763436779153;10,4851457381801;11,7748719355229;10,1936144195552;10,8906015065114
208711_s_at;CCND1;208711_s_at;1;7,33031100382204;7,32911124657436;7,75541284891432;7,58203254463813;7,5498312812089;6,85965162583066;7,20410893506236;5,78824908376967;7,41658141323992;7,56396801707851;8,72563093890099;7,5676767020947;10,3679280802733;8,04420415341842;8,52814786244636
209696_at;FBP1;209696_at;1;9,00225064533057;8,58615194280005;10,0691714415995;10,4229302030693;8,89092799480961;9,10402174136973;9,25606985724583;9,26866745805547;7,39911933792347;8,88915812426472;10,3736779811047;9,55785151658884;10,6306412694043;10,1995835627788;9,59647453428759
203988_s_at;FUT8;203988_s_at;1;8,74036468166826;8,54146057775278;9,38833848708841;8,65015140289198;7,92964737839743;8,82426001988975;8,13109406851126;8,53588151295117;8,06068964784498;8,38024159868272;9,65212459172407;9,04011811348482;10,76431109927;9,86695597362788;9,50477687429362
221207_s_at;NBEA;221207_s_at;1;5,19685810093407;5,3129856777361;5,89103810980312;4,98487005656155;5,41718921540823;5,219336470927;5,15014983653919;4,95484910743523;5,20002014889296;5,34504979784623;6,84280659725012;6,51662856549087;6,8994158350284;7,93245901035205;5,32401295483292
