,SYMBOLS,AvsB,AvsL,BvsL
218694_at,ARMCX1,-1,-1,0
218728_s_at,CNIH4,-1,0,0
218729_at,LXN,-1,0,0
218738_s_at,RNF138,-1,-1,0
218755_at,KIF20A,-1,0,1
218757_s_at,UPF3B,-1,0,1
218776_s_at,TMEM62,1,0,0
218793_s_at,SCML1,-1,0,0
218800_at,SRD5A3,1,1,0
218804_at,ANO1,0,0,-1
218806_s_at,VAV3,1,0,-1
218807_at,VAV3,1,0,-1
218823_s_at,KCTD9,0,0,1
218824_at,PNMA8A,-1,0,0
218844_at,ACSF2,1,0,0
218847_at,IGF2BP2,-1,0,1
218852_at,PPP2R3C,-1,0,0
218854_at,DSE,-1,0,0
218856_at,TNFRSF21,-1,0,0
218858_at,DEPTOR,1,0,0
218868_at,ACTR3B,-1,0,0
218875_s_at,FBXO5,-1,0,0
218877_s_at,TRMT11,-1,0,1
218901_at,PLSCR4,-1,-1,0
218902_at,NOTCH1,-1,0,0
218922_s_at,CERS4,1,0,0
218924_s_at,CTBS,1,1,0
218957_s_at,PAAF1,0,0,-1
218959_at,HOXC10,0,0,-1
218963_s_at,KRT23,-1,0,1
218966_at,MYO5C,0,0,-1
218976_at,DNAJC12,0,0,-1
218986_s_at,DDX60,0,-1,0
219001_s_at,DCAF10,0,-1,0
219006_at,NDUFAF4,-1,0,1
219036_at,CEP70,1,0,0
219053_s_at,VPS37C,1,0,0
219090_at,SLC24A3,0,-1,0
219104_at,RNF141,1,1,0
219109_at,SPAG16,0,-1,0
219115_s_at,IL20RA,1,0,0
219148_at,PBK,-1,0,0
219197_s_at,SCUBE2,0,-1,-1
219257_s_at,SPHK1,-1,0,0
219266_at,ZNF350,1,0,0
219288_at,C3orf14,1,0,0
219295_s_at,PCOLCE2,-1,0,1
219300_s_at,CNTNAP2,1,0,0
219301_s_at,CNTNAP2,1,0,0
219303_at,RNF219,-1,0,0
219306_at,KIF15,-1,0,0
219327_s_at,GPRC5C,1,0,0
219342_at,CASD1,1,0,0
219359_at,PGGHG,0,-1,-1
219387_at,CCDC88A,-1,0,0
219403_s_at,HPSE,-1,0,0
219434_at,TREM1,0,0,1
219474_at,C3orf52,0,-1,0
219479_at,POGLUT2,-1,0,0
219481_at,TTC13,-1,0,0
219497_s_at,BCL11A,-1,0,1
219522_at,FJX1,-1,0,0
219529_at,CLIC3,1,1,0
219540_at,ZNF267,-1,0,0
219543_at,PBLD,1,0,0
219570_at,KIF16B,0,0,-1
219572_at,CADPS2,1,0,0
219587_at,TTC12,1,0,0
219607_s_at,MS4A4A,-1,0,1
219648_at,MREG,0,0,-1
219654_at,HACD1,-1,0,1
219734_at,SIDT1,1,0,-1
219736_at,TRIM36,1,1,0
219747_at,NDNF,1,0,0
219768_at,VTCN1,-1,0,0
219777_at,GIMAP6,-1,0,0
219795_at,SLC6A14,-1,0,1
219806_s_at,SMCO4,0,1,1
219825_at,CYP26B1,-1,0,1
219913_s_at,CRNKL1,0,0,-1
219918_s_at,ASPM,-1,0,0
219947_at,CLEC4A,-1,0,0
219956_at,GALNT6,1,0,-1
219962_at,ACE2,1,1,0
219974_x_at,ECHDC1,-1,0,0
219983_at,PLAAT1,0,1,0
219984_s_at,PLAAT1,0,1,0
220030_at,STYK1,0,1,0
220177_s_at,TMPRSS3,-1,0,0
220192_x_at,SPDEF,1,0,-1
220196_at,MUC16,0,0,1
220239_at,KLHL7,-1,0,1
220330_s_at,SAMSN1,-1,0,0
220532_s_at,TMEM176B,-1,-1,0
220559_at,EN1,-1,0,1
220615_s_at,FAR2,1,1,0
220622_at,LRRC31,1,0,0
220625_s_at,ELF5,-1,0,0
220940_at,ANKRD36B,-1,0,0
220979_s_at,ST6GALNAC5,-1,0,0
221009_s_at,ANGPTL4,0,0,1
221016_s_at,TCF7L1,-1,0,1
221024_s_at,SLC2A10,1,0,-1
221042_s_at,CLMN,0,1,0
221122_at,PLAAT2,1,0,0
221185_s_at,IQCG,0,0,1
221207_s_at,NBEA,0,-1,-1
221230_s_at,ARID4B,0,-1,0
221276_s_at,SYNC,1,0,0
221489_s_at,SPRY4,1,1,0
221505_at,ANP32E,-1,-1,0
221510_s_at,GLS,-1,0,1
221522_at,ANKRD27,-1,0,0
221524_s_at,RRAGD,0,0,1
221563_at,DUSP10,1,0,0
221577_x_at,GDF15,0,0,-1
221583_s_at,KCNMA1,1,1,0
221584_s_at,KCNMA1,1,0,0
221589_s_at,ALDH6A1,1,0,-1
221669_s_at,ACAD8,1,0,0
221728_x_at,XIST,0,0,-1
221811_at,PGAP3,1,0,0
221823_at,C5orf30,0,-1,-1
221854_at,PKP1,-1,0,0
221865_at,TMEM268,1,1,0
221872_at,RARRES1,0,0,1
221874_at,KIAA1324,1,0,-1
221880_s_at,FAM174B,1,0,-1
221922_at,GPSM2,-1,0,0
221927_s_at,ABHD11,1,0,0
221931_s_at,SEH1L,-1,0,0
221934_s_at,DALRD3,1,0,0
221942_s_at,GUCY1A1,0,1,0
221959_at,FAM110B,1,0,0
222039_at,KIF18B,-1,0,0
222062_at,IL27RA,-1,0,0
222108_at,AMIGO2,0,-1,-1
222116_s_at,TBC1D16,1,0,0
222201_s_at,CASP8AP2,-1,0,0
222209_s_at,TMEM135,1,0,-1
222235_s_at,CSGALNACT2,-1,0,0
222240_s_at,ISYNA1,0,-1,0
222257_s_at,ACE2,1,1,0
222258_s_at,SH3BP4,1,0,0
32128_at,CCL18,0,0,1
33322_i_at,SFN,-1,0,0
35147_at,MCF2L,0,-1,-1
36936_at,TSTA3,1,0,0
39817_s_at,DNPH1,-1,0,0
41660_at,CELSR1,0,-1,-1
44790_s_at,RUBCNL,-1,0,0
51158_at,FAM174B,1,0,-1
55081_at,MICALL1,0,0,1
55616_at,PGAP3,1,0,0
74694_s_at,RABEP2,1,0,0
